target
3
26
74
128
64
64
65
244
68
66
64
4
56
62
35
56
28
63
66
64
66
6
49
113
67
78
56
59
77
59
57
61
76
80
67
62
48
43
65
8
64
4
26
4
4
55
64
66
77
52
72
56
28
62
68
50
61
56
46
45
60
69
71
70
63
73
3
66
56
58
58
88
5
58
62
70
47
60
73
65
61
31
41
70
2
62
6
12
59
300
25
29
12
57
9
57
194
72
55
55
5
67
30
71
64
45
46
141
23
5
71
23
27
63
70
25
61
69
61
67
55
64
56
69
62
68
73
57
55
67
62
56
61
25
56
84
4
51
69
154
66
50
62
3
59
53
70
60
22
63
61
54
46
62
47
60
63
34
76
49
163
59
60
60
56
47
88
24
68
25
23
27
23
55
69
60
64
76
92
88
50
68
28
79
75
51
42
66
103
73
48
10
65
26
26
4
48
66
56
102
2
47
60
47
48
63
67
28
61
63
58
27
26
34
56
63
74
73
72
61
62
52
67
8
66
58
55
52
3
55
50
43
63
69
66
15
73
53
26
59
54
5
46
7
27
64
67
60
58
57
68
176
47
64
59
64
71
64
49
4
62
62
62
49
33
33
6
58
49
23
52
66
63
66
62
7
63
67
53
56
74
63
100
57
66
53
10
121
66
68
27
49
73
26
79
8
61
45
67
8
65
69
63
4
72
65
27
44
13
65
50
148
89
75
60
76
67
61
67
67
46
60
63
55
61
29
22
60
72
63
74
64
16
49
59
55
65
114
169
64
13
49
16
53
83
66
104
26
7
46
26
60
60
67
68
65
70
56
60
61
79
70
58
59
63
63
50
3
24
65
64
3
31
73
69
50
27
52
68
7
55
69
47
52
54
58
2
64
58
78
64
69
54
51
67
63
65
26
73
60
3
61
4
65
9
66
57
63
61
82
64
59
60
66
58
48
71
54
64
5
70
59
65
52
64
86
63
48
26
5
50
53
52
237
68
33
71
57
54
63
66
8
254
57
60
7
73
4
64
69
50
61
7
80
62
73
66
63
65
60
63
65
54
65
50
74
27
4
54
78
28
5
60
23
58
61
14
4
86
62
3
75
64
70
49
61
65
63
64
48
7
56
61
61
63
76
66
8
56
72
59
68
61
60
25
70
66
68
71
26
260
26
56
75
60
25
2
24
136
25
27
60
71
52
58
11
48
51
60
2
58
62
69
58
47
5
69
51
8
59
53
55
25
6
60
68
24
65
60
49
9
67
54
48
58
36
5
62
59
49
48
66
5
66
60
3
27
71
74
50
74
3
51
57
61
50
61
4
29
58
59
51
68
25
85
55
94
24
76
59
62
72
5
65
59
69
57
26
59
69
85
64
11
75
70
56
29
60
77
49
57
57
54
68
51
54
62
23
58
23
72
65
108
51
8
76
61
67
67
66
49
176
54
60
52
59
61
56
39
3
83
5
60
3
23
63
48
63
58
55
66
60
27
60
72
56
61
9
68
55
74
64
57
9
3
62
25
58
65
4
8
64
72
61
8
49
62
70
59
67
32
61
38
68
57
62
60
65
6
58
60
66
61
59
70
28
61
67
61
34
49
4
25
57
48
62
67
14
2
57
3
107
64
65
77
52
91
53
70
58
5
6
3
37
58
64
62
4
60
187
58
60
52
8
55
67
64
15
15
2
54
11
69
25
110
63
54
73
53
3
48
71
66
54
58
63
62
52
62
67
76
216
66
67
65
63
67
65
77
59
84
27
60
58
61
51
5
50
67
48
52
245
71
66
83
11
58
71
36
6
55
56
81
52
24
24
61
60
50
57
56
63
73
67
17
51
75
64
60
25
24
65
78
23
54
58
67
5
66
60
66
51
